slug,min_precip,max_precip
cyrilla-racemiflora,1000,1800
cytisus-scoparius,700,1600
dacryodes-excelsa,2000,4100
dactylis-glomerata,600,1600
dactylis-glomerata-subsp-hispanica,600,1600
dactylis-glomerata-subsp-lobata,600,1600
dactylis-glomerata-subsp-lusitanica,600,1600
dactylis-glomerata-subsp-woronowii,600,1600
dactylis-smithii,600,1600
dalea-candida,300,600
dalea-formosa,300,600
dalea-purpurea,400,700
damasonium-californicum,300,500
danthonia-californica,100,1100
danthonia-compressa,800,1400
danthonia-intermedia,100,600
danthonia-unispicata,300,4000
dasiphora-fruticosa,400,1100
dasylirion-wheeleri,100,400
decodon-verticillatus,700,1600
delonix-regia,1000,2600
delphinium-andersonii,300,700
delphinium-glaucum,1300,3200
dendrophorbium-amplexicaule,500,1100
deschampsia-caespitosa-var-glauca,300,700
deschampsia-cespitosa,300,700
deschampsia-cespitosa-subsp-holciformis,300,700
deschampsia-cespitosa-subsp-parviflora,300,700
deschampsia-cespitosa-subsp-septentrionalis,300,700
deschampsia-danthonioides,300,800
